2026-04-11 12:49:07 | INFO | src.app.controller | 地图桥接完成，可接收路径。
2026-04-11 12:49:07 | INFO | src.app.controller | 地图页面加载完成，等待 WebChannel 就绪。
2026-04-11 12:49:25 | INFO | src.app.controller | 开始规划: 上海 -> 北京, 策略=速度优先, 水果=苹果, 运输=公路冷链, 载重=5.0吨
2026-04-11 12:49:25 | WARNING | src.services.route_planning_service | 高德路径规划失败: 高德接口返回错误: USERKEY_PLAT_NOMATCH
2026-04-11 12:49:25 | INFO | src.app.controller | 路径点不足，跳过地图渲染。
2026-04-11 12:56:25 | INFO | src.app.controller | 界面已启动，等待输入。
2026-04-11 12:56:25 | INFO | src.app.main | 应用启动完成
2026-04-11 12:56:25 | INFO | src.app.controller | 地图消息: WebChannel 已连接。
2026-04-11 12:56:26 | INFO | src.app.controller | 地图消息: 地图初始化完成。
2026-04-11 12:56:26 | INFO | src.app.controller | 地图桥接完成，可接收路径。
2026-04-11 12:56:26 | INFO | src.app.controller | 地图页面加载完成，等待 WebChannel 就绪。
2026-04-11 12:56:38 | INFO | src.app.controller | 开始规划: 北京市朝阳区北京首都国际机场  [高德] -> 上海市闵行区上海虹桥站  [高德], 策略=速度优先, 水果=苹果, 运输=公路冷链, 载重=5.0吨
2026-04-11 12:56:38 | INFO | src.app.controller | 路径已发送到地图。
2026-04-11 12:56:38 | INFO | src.app.controller | 规划成功（策略: 閫熷害浼樺厛）
2026-04-11 12:56:38 | INFO | src.app.controller | 地图消息: 地图完成渲染，点数=9050
2026-04-11 12:56:46 | INFO | src.app.controller | 开始规划: 北京市朝阳区北京首都国际机场  [高德] -> 上海市闵行区上海虹桥站  [高德], 策略=距离优先, 水果=苹果, 运输=公路冷链, 载重=5.0吨
2026-04-11 12:56:46 | INFO | src.app.controller | 路径已发送到地图。
2026-04-11 12:56:46 | INFO | src.app.controller | 规划成功（策略: 閫熷害浼樺厛）
2026-04-11 12:56:46 | INFO | src.app.controller | 地图消息: 地图完成渲染，点数=9050
2026-04-11 12:56:48 | INFO | src.app.controller | 开始规划: 北京市朝阳区北京首都国际机场  [高德] -> 上海市闵行区上海虹桥站  [高德], 策略=距离优先, 水果=苹果, 运输=公路冷链, 载重=5.0吨
2026-04-11 12:56:48 | INFO | src.app.controller | 路径已发送到地图。
2026-04-11 12:56:48 | INFO | src.app.controller | 规划成功（策略: 閫熷害浼樺厛）
2026-04-11 12:56:48 | INFO | src.app.controller | 地图消息: 地图完成渲染，点数=9050
2026-04-11 12:56:49 | INFO | src.app.controller | 开始规划: 北京市朝阳区北京首都国际机场  [高德] -> 上海市闵行区上海虹桥站  [高德], 策略=距离优先, 水果=苹果, 运输=公路冷链, 载重=5.0吨
2026-04-11 12:56:49 | INFO | src.app.controller | 路径已发送到地图。
2026-04-11 12:56:49 | INFO | src.app.controller | 规划成功（策略: 閫熷害浼樺厛）
2026-04-11 12:56:49 | INFO | src.app.controller | 地图消息: 地图完成渲染，点数=9050
